[2026-01-26 14:44:25][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M03/exp02/train_20260126_144425_gpu2_pid3380296.log
[2026-01-26 14:44:25][INFO] 进程 PID: 3380296
[2026-01-26 14:44:25][INFO] ========== FCNN-Fourier 训练开始 ==========
[2026-01-26 14:44:25][INFO] 使用设备: cuda
[2026-01-26 14:44:25][INFO] 训练参数: {'epochs': 150, 'lr': 0.005, 'batch_cases': 10, 'points_per_case': 20000, 'num_workers': 8, 'device': 'cuda', 'log_dir': 'logs/M03/exp02', 'ckpt_dir': 'checkpoints/M03/exp02'}
[2026-01-26 14:44:25][INFO] 数据集大小: 141 cases
[2026-01-26 14:44:25][INFO] 每 case 采样点数: 20000
[2026-01-26 14:44:26][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-26 14:44:26][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=10)
[2026-01-26 14:46:46][INFO] [Epoch 001] MSE Loss = 59481.091016 | LR = 5.00e-03
[2026-01-26 14:49:03][INFO] [Epoch 002] MSE Loss = 18422.161003 | LR = 5.00e-03
[2026-01-26 14:51:23][INFO] [Epoch 003] MSE Loss = 11638.143685 | LR = 5.00e-03
[2026-01-26 14:53:40][INFO] [Epoch 004] MSE Loss = 8812.112826 | LR = 5.00e-03
[2026-01-26 14:55:54][INFO] [Epoch 005] MSE Loss = 6952.247396 | LR = 5.00e-03
[2026-01-26 14:58:14][INFO] [Epoch 006] MSE Loss = 6636.964160 | LR = 5.00e-03
[2026-01-26 15:00:31][INFO] [Epoch 007] MSE Loss = 5631.789111 | LR = 5.00e-03
[2026-01-26 15:02:51][INFO] [Epoch 008] MSE Loss = 5507.708154 | LR = 5.00e-03
[2026-01-26 15:05:10][INFO] [Epoch 009] MSE Loss = 5547.884863 | LR = 5.00e-03
[2026-01-26 15:07:28][INFO] [Epoch 010] MSE Loss = 4934.588737 | LR = 5.00e-03
[2026-01-26 15:09:45][INFO] [Epoch 011] MSE Loss = 4948.411279 | LR = 5.00e-03
[2026-01-26 15:12:03][INFO] [Epoch 012] MSE Loss = 5106.103320 | LR = 5.00e-03
[2026-01-26 15:14:19][INFO] [Epoch 013] MSE Loss = 4782.731689 | LR = 5.00e-03
[2026-01-26 15:16:39][INFO] [Epoch 014] MSE Loss = 4496.190706 | LR = 5.00e-03
[2026-01-26 15:19:00][INFO] [Epoch 015] MSE Loss = 4147.443066 | LR = 5.00e-03
[2026-01-26 15:21:18][INFO] [Epoch 016] MSE Loss = 3876.861426 | LR = 5.00e-03
[2026-01-26 15:23:40][INFO] [Epoch 017] MSE Loss = 3599.296468 | LR = 5.00e-03
[2026-01-26 15:25:55][INFO] [Epoch 018] MSE Loss = 3376.991309 | LR = 5.00e-03
[2026-01-26 15:28:11][INFO] [Epoch 019] MSE Loss = 3023.495825 | LR = 5.00e-03
[2026-01-26 15:30:32][INFO] [Epoch 020] MSE Loss = 3216.231429 | LR = 5.00e-03
